Periodo,AGS,BC,BCS,CAMP,COAH,COL,CHIA,CHIH,CDMX,DUR,GUAN,GUER,HGO,JAL,EDOMEX,MICH,MOR,NAY,NL,OAX,PUE,QUE,QUI,SLP,SIN,SON,TAB,TAMPS,TLAX,VER,YUC,ZAC
2003,5262.297,11067.628,3448.593,3010.18,11281.167,4467.823,21940.471,21364.726,1513.951,17491.937,21768.244,10982.639,10032.916,45266.923,19512.859,32803.547,5113.053,6334.566,7729.586,11682.515,18753.415,6498.753,1517.316,9115.138,29402.89,24566.362,7782.003,14656.871,3334.045,39098.009,7195.134,11472.477
2004,5186.673,12588.134,3209.62,3500.141,12051.455,4604.776,20617.682,22263.946,1364.238,18053.12,23298.8,10455.419,10025.754,48731.225,20341.809,30908.902,5235.684,7249.249,7384.516,11837.134,19165.917,6309.11,1648.179,9253.648,34594.54,22402.721,8729.628,16375.782,2770.412,37761.426,8309.648,9741.376
2005,5587.146,12935.505,3687.31,3295.505,13495.313,4458.715,18740.146,22405.672,1500.58,15834.756,20878.187,10817.27,9928.484,46693.767,17816.53,30183.248,5697.548,7111.632,6856.09,11404.286,19391.578,5559.968,1756.109,9352.102,32781.305,24960.046,7684.964,14853.59,3052.572,34803.598,7820.443,8004.718
2006,5752.838,12500.92,3414.949,3859.856,12459.641,4666.687,19719.962,24744.761,1311.591,17864.576,20307.976,11488.758,10950.176,50078.72,19393.066,34472.557,5724.729,7071.672,6813.11,12589.966,20228.143,5959.255,1972.215,9480.871,37268.739,23896.859,8277.707,15124.652,3226.241,36684.161,8406.84,11223.698
2007,6041.207,11854.491,3353.161,2934.92,12894.454,4866.399,20309.059,26362.801,1293.484,17451.155,21992.044,11576.74,10667.766,53074.537,22297.792,36053.211,5983.812,7689.549,7527.158,12712.193,21332.959,6741.912,1596.014,9783.812,40423.406,27050.252,7384.184,16633.801,3000.407,37075.337,8746.538,9977.668
2008,6566.041,11634.057,3265.225,3321.391,12417.341,5061.178,19961.21,24549.046,1218.942,17530.643,22505.655,12013.442,10899.583,53142.478,20584.935,38699.199,5229.43,8259.986,6888.669,13085.15,21285.441,6520.043,1337.603,10156.886,39832.299,27929.827,7262.804,16693.497,3584.674,36824.357,7817.634,10386.295
2009,6216.043,13217.606,3082.843,3543.657,13485.376,4162.321,20026.696,25320.964,1312.468,18054.632,22648.509,11609.041,10097.418,50839.069,17579.481,35964.264,5614.585,7374.004,7210.986,13283.059,19981.701,6394.13,1588.44,9398.953,37419.257,28031.463,7017.114,16254.413,3185.464,37917.135,8200.144,10124.876
2010,6516.928,13323.311,3805.176,4239.031,13637.196,4510.975,20757.394,27231.784,1295.982,17428.203,22061.938,12380.518,10304.073,55802.037,19125.925,33923.768,5822.891,7593.762,7725.279,13369.979,20962.941,7067.547,1930.093,10242.671,33660.45,28628.166,7148.114,17531.956,3559.012,37213.107,8534.028,10694.795
2011,6908.651,13184.158,3660.129,3803.433,13153.989,4795.777,20808.961,25440.858,1367.89,16101.193,22204.227,12281.079,9041.252,52703.563,16241.237,38108.062,5349.988,8483.448,6789.656,13123.146,19806.127,6612.966,1990.04,9084.733,30583.539,27827.145,6829.508,15588.875,2346.447,37996.254,8701.738,8743.501
2012,7251.295,13219.844,3895.906,4014.807,13283.091,4281.133,20576.267,25774.944,1342.476,18153.313,21876.664,11827.406,10407.18,57514.461,19620.513,37810.691,5223.279,8349.491,6904.717,13916.918,22127.802,7658.781,1888.669,9560.369,36053.687,31064.156,7692.769,15684.243,3557.616,38985.281,8919.566,11078.216
2013,7270.858,14181.789,3772.298,4031.378,13260.842,4400.007,20772.068,29128.57,1195.825,18811.485,23507.447,10921.653,10711.134,57476.853,19904.044,39538.431,6056.056,7865.074,6847.625,14506.536,22182.283,7861.136,1980.193,11505.111,36391.883,29942.431,7594.783,14373.989,3235.906,40750.571,8695.222,12232.216
2014,7781.849,14087.962,4662.404,4564.823,14400.791,4477.266,19843.33,31040.145,1215.705,19330.999,23774.793,12182.689,10747.919,61028.816,20830.631,43874.151,5693.227,7183.507,6848.865,14584.062,22048.287,8569.8,1934.299,12797.961,36997.996,30503.517,7513.522,17623.005,3362.656,39487.193,9084.029,12145.065
2015,8007.861,14811.344,4873.298,4858.877,13684.557,4352.455,19689.854,32793.18,1187.927,18916.913,23085.709,11437.53,10545.136,62301.416,21389.437,42842.704,5383.547,7142.876,6353.963,14451.898,24083.149,9083.405,1964.906,12716.684,42502.069,33302.225,7641.774,16006.618,3373.152,41562.196,9104.63,11749.171
2016,8266.1,13512.31,4911.36,5250.808,13069.138,4568.225,19953.4,31597.381,1213.636,19256.647,23714.734,12821.551,10625.252,64465.69,22510.944,49205.47,5887.18,8105.552,6110.189,14866.357,23906.302,8923.018,1896.243,13062.232,45741.213,34915.044,7758.572,17633.726,3282.358,41151.521,9305.876,14114.613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
